Date,Symbol,Series,Mkt Cap (₹ Crores),AVOL(20),ADR(20),Price_1D,Change_1W,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score
11-09-2025,NSE:DIGITIDE,EQ,2986.44,2.76,3.96,196.69,-0.86,-0.48,-14.37,-24.56,-24.56,-24.56,-2.51,-14.61,-36.07,-23.74,-22.94,0.9229837586145795,14
11-09-2025,NSE:BAJEL,BE,2340.16,2.49,3.91,193.36,-4.51,-15.90,-15.20,9.69,-34.00,-34.54,-17.93,-15.44,-1.82,-33.18,-32.92,0.9228654377192133,14
11-09-2025,NSE:SONATSOFTW,EQ,9856.93,19.17,3.86,379.25,5.09,13.05,-9.35,-3.03,-76.69,-81.75,11.02,-9.59,-14.54,-75.87,-80.13,0.9223812785446502,14
11-09-2025,NSE:SPARC,EQ,4543,2.08,2.71,144.54,0.15,1.47,-15.50,5.49,-50.71,-56.16,-0.56,-15.74,-6.02,-49.89,-54.54,0.9223586990349949,14
11-09-2025,NSE:POLYMED,EQ,21075.75,2.16,3.42,1995.7,-1.87,1.08,-11.97,-14.45,-44.69,-28.06,-0.95,-12.21,-25.96,-43.87,-26.44,0.9221005594388112,14
11-09-2025,NSE:SADBHAV,EQ,242.94,7.23,5.02,14.02,-0.29,11.91,4.56,3.35,-120.19,-149.79,9.88,4.32,-8.16,-119.37,-148.17,0.9217807769530981,13
11-09-2025,NSE:HINDMOTORS,BE,463.22,2.81,3.68,23.54,1.19,2.89,-42.86,-9.18,-14.49,-25.28,0.86,-43.1,-20.69,-13.67,-23.66,0.921262106836298,13
11-09-2025,NSE:TCS,EQ,1115745.83,27.1,1.53,3124.2,0.91,2.67,-9.92,-15.59,-42.51,-42.65,0.64,-10.16,-27.1,-41.69,-41.03,0.9204367698785663,13
11-09-2025,NSE:BEPL,EQ,2581.91,2.76,2.43,105.83,-0.63,-4.03,-11.41,-2.66,-33.86,-54.29,-6.06,-11.65,-14.17,-33.04,-52.67,0.9201935953669304,13
11-09-2025,NSE:ELGIEQUIP,EQ,14921.66,2.43,2.71,469.35,-3.49,-8.43,-13.14,3.04,-33.24,-51.59,-10.46,-13.38,-8.47,-32.42,-49.97,0.9197830102750801,13
11-09-2025,NSE:JKIL,EQ,4662.51,1.21,2.76,625.8,-1.00,-7.47,-18.70,-8.45,-26.67,-26.11,-9.5,-18.94,-19.96,-25.85,-24.49,0.9194770725011296,13
11-09-2025,NSE:VIPCLOTHNG,EQ,316.35,1.65,3.28,33.91,-1.21,-13.27,-16.81,5.46,-40.58,-28.22,-15.3,-17.05,-6.05,-39.76,-26.6,0.9192818501486741,13
11-09-2025,NSE:FILATFASH,EQ,450.04,311.85,5.96,0.56,0.00,-8.93,5.36,10.71,-66.07,-126.79,-10.96,5.12,-0.8,-65.25,-125.17,0.9192191773053945,13
11-09-2025,NSE:HAPPSTMNDS,EQ,8604.29,3.43,2.2,569.15,-0.06,-1.31,-6.83,-22.19,-33.90,-41.65,-3.34,-7.07,-33.7,-33.08,-40.03,0.9189350134383744,13
11-09-2025,NSE:GODREJPROP,EQ,58644.83,6.79,2.32,1993,-0.49,0.11,-19.85,-0.77,-42.65,-43.32,-1.92,-20.09,-12.28,-41.83,-41.7,0.9185641533352439,13
11-09-2025,NSE:PATELRMART,BE,871.75,7.56,4.63,257.7,-0.72,-16.41,-16.41,-16.41,-16.41,-16.41,-18.44,-16.65,-27.92,-15.59,-14.79,0.9181438690917062,13
