Date,Symbol,Series,Mkt Cap (₹ Crores),AVOL(20),ADR(20),CMP,Change_1D,Change_1W,Change_10D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_12M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Below_3M,Below_6M,Below_12M,Above_3M,Above_6M,Above_12M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
25-09-2025,NSE:JYOTHYLAB,EQ,11835.32,3.02,1.47,318.85,-0.45,-1.93,-2.15,-8.88,-5.72,-8.36,-17.89,-70.52,0,0,0,HV2Y,HV2Y,-1,-1,-1,-1,-1,-11.27,-19.39,-43.07,0,0,0.78,-8.75,-4.53,-15.95,-20.94,-66.91,0.923571,11,-9.42,3.96,-11.17,-3.89,-37.76,0.962372,7
25-09-2025,NSE:POLYMED,EQ,20153.68,1.76,3,1983.1,1.55,-0.68,1.79,-6.99,-10.57,-16.89,-30.89,-24.32,0,0,0,0,0,-1,-1,-1,-1,-1,-10.49,-28.34,-35.06,10.05,10.05,10.05,-6.86,-9.38,-24.48,-33.94,-20.71,0.923486,11,-7.53,-2.29,-14.39,-7.07,11.91,0.978868,21
25-09-2025,NSE:INDOSTAR,EQ,3589.36,1.36,3.79,259.2,-2.72,-1.18,-1.91,-2.51,-34.09,-15.1,-15.47,-16.38,0,0,0,0,HV2Y,-1,-1,-1,-1,-1,-28.76,-28.76,-28.76,0.41,0.41,14.96,-2.38,-32.9,-22.69,-18.52,-12.77,0.922991,11,-3.05,-29.75,5.48,4.58,6.09,0.982283,25
25-09-2025,NSE:TORNTPOWER,EQ,63894.97,5.74,2.3,1264.3,-1.17,-0.1,0.11,-1.44,-15.63,-18.53,-17,-45.72,0,0,0,0,0,-1,-1,-1,-1,-1,-14.85,-22.73,-36.44,2.22,2.22,2.22,-1.31,-14.44,-26.12,-20.05,-42.11,0.922988,11,-1.98,-12.93,-11.19,6.2,-17.67,0.968301,11
25-09-2025,NSE:UNITECH,BZ,2002.81,29.9,4.02,7.11,-0.42,2.11,4.22,-1.27,-27.43,6.33,-34.32,-46.69,0,0,0,0,0,-1,-1,-1,-1,-1,-13.47,-25.65,-43.04,9.4,31.86,31.86,-1.14,-26.24,-1.26,-37.37,-43.08,0.922797,11,-1.81,-24.77,17.81,-38.48,-2.33,0.972698,15
25-09-2025,NSE:JITFINFRA,BE,951.04,2.96,9.19,360.8,1.33,-7.64,-19.6,19.4,-2.05,-10.63,-99.99,-147.71,0,HV2Y,0,0,0,-1,-1,-1,-1,-1,-21.19,-23.38,-62.88,38.38,38.38,38.38,19.53,-0.86,-18.22,-103.04,-144.1,0.922286,11,18.86,-25.56,-17.09,-75.86,-16.99,0.944646,2
25-09-2025,NSE:ZEEMEDIA,EQ,782.41,23.47,2.98,12.21,-1.45,-2.29,-2.05,-1.64,-21.62,-16.05,-51.76,-6.22,0,0,HVQ,0,HV2Y,-1,-1,-1,-1,-1,-21.21,-25.3,-52.95,0,0,0,-1.51,-20.43,-23.64,-54.81,-2.61,0.921019,11,-2.18,-18.6,-4.1,-25.86,36.89,0.994434,42
25-09-2025,NSE:BAJAJELEC,EQ,6803.38,8.76,3.49,589.75,2.19,-2.56,0.66,0,-16.23,-1.26,-31.28,-71.45,0,0,0,HV2Y,0,-1,-1,-1,-1,-1,-18.08,-18.08,-42.43,0,10.8,10.8,0.13,-15.04,-8.85,-34.33,-67.84,0.920951,10,-0.54,-15.17,4.19,-24.73,-23.73,0.95908,5
25-09-2025,NSE:NATCOPHARM,EQ,15850.33,3.91,2.13,854.2,-0.15,-0.36,1.16,-2.42,-2.88,2.92,-65.88,-77.36,0,0,0,HV2Y,2,-1,-1,-1,-1,-1,-18.63,-18.63,-43.55,0.12,12.83,12.83,-2.29,-1.69,-4.67,-68.93,-73.75,0.920316,10,-2.96,0.61,-3.05,-65.95,-0.04,0.961751,6
25-09-2025,NSE:ESTER,EQ,1132.39,1.37,3.32,113.28,-1.56,-2.2,0.18,4.41,-14.13,-15.32,-42.28,-47.45,0,0,0,0,HV2Y,-1,-1,-1,-1,-1,-14.73,-24.42,-34.71,7.26,7.26,7.26,4.54,-12.94,-22.91,-45.33,-43.84,0.920139,10,3.87,-18.34,-9.72,-18.48,3.25,0.966541,9
