Date,Symbol,Series,Mkt Cap (₹ Crores),AVOL(20),ADR(20),CMP,Change_1W,Change_10D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Off_3M_peak,Off_6M_peak,Off_12M_peak,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
14-09-2025,NSE:DHANI,EQ,3717.69,36.86,4.8,65.15,1.21,5.53,7.20,-13.52,9.52,-46.20,18.34,-9.54,-11.91,-39.84,4.52,-14.74,-3.09,-45.66,19.68,0.977417,40,4.52,-20.83,8.77,-46.54,44.95,1.034102,82
14-09-2025,NSE:NHPC,EQ,77597.89,112.7,2.12,83.5,6.80,7.51,-0.49,-3.07,9.22,-2.97,-13.62,-5.95,-8.17,-13.19,-3.17,-4.29,-3.39,-2.43,-12.28,0.977261,40,-3.17,-1.06,0.4,1.61,-9.54,0.989772,36
14-09-2025,NSE:STARHEALTH,EQ,26222.33,10.73,3.42,443.35,0.36,-0.79,-0.34,-0.08,17.73,-4.31,-41.66,-1.92,-7.39,-28.68,-3.02,-1.3,5.12,-3.77,-40.32,0.976885,40,-3.02,1.76,6.27,-11.75,-35.01,0.979641,24
14-09-2025,NSE:ICICIGI,EQ,91643.31,5.71,2.34,1893.6,2.81,2.85,-0.49,-2.49,10.25,-2.76,-17.89,-8.24,-8.24,-16.77,-3.17,-3.71,-2.36,-2.22,-16.55,0.976834,40,-3.17,-0.49,0.9,0.55,-13.93,0.987719,34
14-09-2025,NSE:RAILTEL,EQ,10538.01,21.38,2.98,374.6,8.04,12.39,7.47,-13.55,22.01,-16.22,-25.37,-13.39,-18.77,-21.57,4.79,-14.77,9.4,-15.68,-24.03,0.976712,40,4.79,-21.22,19.8,-33.98,-7.08,0.991639,39
14-09-2025,NSE:CANFINHOME,EQ,9639.69,1.84,2.42,746.35,-1.10,3.85,0.46,-6.18,16.57,-9.71,-16.47,-9.31,-9.31,-19.85,-2.22,-7.4,3.96,-9.17,-15.13,0.976558,39,-2.22,-5.16,9.91,-16.47,-5.35,0.990361,37
14-09-2025,NSE:TIRUPATIFL,EQ,471.04,2.14,6.54,38.66,-3.67,0.03,4.50,-7.63,-1.47,-47.80,24.78,-19.05,-19.05,-46.95,1.82,-8.85,-14.08,-47.26,26.12,0.976395,39,1.82,-11.2,-5.8,-30.61,49.91,1.041055,87
14-09-2025,NSE:J&KBANK,EQ,10922.63,13.35,1.94,101.07,0.02,2.13,-3.68,-3.69,6.76,-3.32,-3.53,-13.41,-13.41,-13.41,-6.36,-4.91,-5.85,-2.78,-2.19,0.97631,39,-6.36,1.49,-1.44,4.23,0.6,0.995711,45
14-09-2025,NSE:MAHLIFE,EQ,7443.05,1.4,2.76,365.35,0.52,4.22,6.58,1.75,19.32,-28.86,-37.28,-5.34,-5.34,-30.85,3.9,0.53,6.71,-28.32,-35.94,0.976257,39,3.9,-3.67,6.36,-44.69,-5.73,0.983457,29
14-09-2025,NSE:STOVEKRAFT,EQ,2114.23,2.08,4.32,672.7,-1.38,5.08,11.36,11.42,-13.81,-22.53,-21.90,-3.27,-16.41,-28.65,8.68,10.2,-26.42,-21.99,-20.56,0.976187,39,8.68,1.56,-40,7.38,1.31,0.989914,37
14-09-2025,NSE:HUDCO,EQ,40908.83,25.21,2.13,216.48,0.50,5.54,2.68,-5.43,17.37,-17.45,-16.36,-9.96,-12.59,-16.21,,-6.65,4.76,-16.91,-15.02,0.976085,39,,-6.84,10.11,-27.1,1.73,0.991779,40
14-09-2025,NSE:MINDACORP,EQ,11907.35,3.13,2.59,511.6,1.49,2.49,7.87,-6.94,-0.66,-5.95,-7.57,-4.98,-10.93,-17.29,5.19,-8.16,-13.27,-5.41,-6.23,0.976023,39,5.19,-14.57,-5.65,9.79,-0.73,0.992371,40
14-09-2025,NSE:PARKHOTELS,EQ,3226.22,5.89,3.15,156.82,1.82,3.65,7.18,-3.73,8.03,-20.58,-8.93,-7.55,-7.55,-23.36,4.5,-4.95,-4.58,-20.04,-7.59,0.97597,39,4.5,-10.25,-0.18,-16.08,10.47,0.994021,43
14-09-2025,NSE:AXISBANK,EQ,325403.68,53.67,1.37,1105.3,4.47,5.44,3.19,-9.09,6.28,-4.37,-5.93,-10.39,-10.39,-13.45,0.51,-10.31,-6.33,-3.83,-4.59,0.975941,39,0.51,-11.19,2.57,3.67,-0.69,0.993412,42
14-09-2025,NSE:SMALLCAP,EQ,673.45,11.25,1.87,45.79,1.49,3.73,3.04,-2.88,12.99,-16.42,-14.65,-5.72,-5.72,-15.11,0.36,-4.1,0.38,-15.88,-13.31,0.975788,39,0.36,-4.6,3.91,-18.77,2.32,0.990787,38
14-09-2025,NSE:BHEL,EQ,72601.02,65.57,2.45,228.72,7.15,9.05,2.56,-10.86,16.01,-8.69,-14.57,-14.11,-14.21,-20.46,-0.12,-12.08,3.4,-8.15,-13.23,0.975422,39,-0.12,-12.27,12.71,-14.37,-4.61,0.991456,39
14-09-2025,NSE:EMAMILTD,EQ,25011.45,9.65,3.18,601.95,-0.50,4.71,4.14,4.88,5.62,-6.60,-37.49,-3.93,-6.94,-27.01,1.46,3.66,-6.99,-6.06,-36.15,0.97541,39,1.46,2.27,-10.75,2.1,-28.18,0.97924,24
14-09-2025,NSE:KPIGREEN,EQ,9531.57,5.01,2.64,482.35,-0.93,0.24,-6.74,-3.41,19.94,-11.70,-14.56,-13.32,-13.32,-19.43,-9.42,-4.63,7.33,-11.16,-13.22,0.975334,39,-9.42,4.62,11.06,-24.48,-1.77,0.99404,43
