Date,Symbol,Series,Mkt Cap (₹ Crores),AVOL(20),ADR(20),Price_1D,Change_1W,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score
07-09-2025,NSE:DHANI,EQ,3717.69,32.66,4.61,64.36,4.37,3.93,5.27,10.15,-22.68,12.99,3.8,6.74,-2.69,-21.84,17.07,1.0093109674058578,57
07-09-2025,NSE:LOTUSDEV,EQ,8821.46,73.47,5.36,183.93,1.53,3.22,3.22,3.22,3.22,3.22,3.09,4.69,-9.62,4.06,7.3,1.0090079942000105,56
07-09-2025,NSE:PIDILITIND,EQ,155042.34,3.47,1.56,3095.1,1.45,3.15,1.46,13.37,-1.74,-2.17,3.02,2.93,0.53,-0.9,1.91,1.0086900904808527,56
07-09-2025,NSE:GRAPHITE,EQ,9964.16,3.1,2.35,516.45,1.09,-3.04,-4.95,27.50,-10.40,0.89,-3.17,-3.48,14.66,-9.56,4.97,1.0083897521772602,56
07-09-2025,NSE:CANBK,EQ,94198.71,137.75,1.9,107.14,3.09,-0.30,-8.00,24.01,1.89,-5.25,-0.43,-6.53,11.17,2.73,-1.17,1.0083034352927884,56
07-09-2025,NSE:ZEELEARN,BE,311.04,4.06,5.16,8.89,-7.31,-13.72,-11.70,31.27,2.81,1.69,-13.85,-10.23,18.43,3.65,5.77,1.0078148176791528,56
07-09-2025,NSE:AZAD,EQ,9868.09,1.22,2.88,1577.3,3.00,1.13,-4.59,22.23,-11.83,4.56,1,-3.12,9.39,-10.99,8.64,1.0076580972212508,56
07-09-2025,NSE:STOVEKRAFT,EQ,2114.23,2.82,4.62,681.95,6.36,16.11,14.83,-0.89,-18.95,-26.97,15.98,16.3,-13.73,-18.11,-22.89,1.007475113495554,56
07-09-2025,NSE:GILT5YBEES,EQ,296.12,2.66,0.35,62.48,0.11,-0.53,-0.53,4.56,5.87,8.15,-0.66,0.94,-8.28,6.71,12.23,1.0073440970284568,56
07-09-2025,NSE:CHOLAFIN,EQ,119762.83,10.84,2.29,1490.9,4.71,1.26,-6.86,4.77,15.91,0.31,1.13,-5.39,-8.07,16.75,4.39,1.0071114108226285,56
07-09-2025,NSE:MEDPLUS,EQ,10113.03,1.79,2.98,832.5,-1.14,-5.32,-9.93,12.99,3.68,17.52,-5.45,-8.46,0.15,4.52,21.6,1.007101050026993,56
07-09-2025,NSE:DRCSYSTEMS,BE,252.61,1.01,5.1,20.71,10.14,15.21,13.18,12.51,-36.26,-27.14,15.08,14.65,-0.33,-35.42,-23.06,1.0069813499143239,56
07-09-2025,NSE:CIPLA,EQ,128190.57,13.6,1.78,1553.4,-2.32,3.45,3.17,9.39,1.26,-6.00,3.32,4.64,-3.45,2.1,-1.92,1.0068546601375414,56
07-09-2025,NSE:JKTYRE,EQ,8779.6,7.25,3.34,348.1,7.81,6.13,-6.03,27.20,-11.94,-15.37,6,-4.56,14.36,-11.1,-11.29,1.006801584031376,56
07-09-2025,NSE:HEIDELBERG,EQ,4655.77,1.74,2.2,214.38,4.13,0.38,9.07,11.35,-4.67,-8.41,0.25,10.54,-1.49,-3.83,-4.33,1.0067953586190646,55
07-09-2025,NSE:LTGILTBEES,EQ,2882.09,35.97,1.06,28.81,0.76,-0.59,-0.56,4.20,5.80,8.05,-0.72,0.91,-8.64,6.64,12.13,1.006732990535218,55
07-09-2025,NSE:LATENTVIEW,EQ,8548.12,3.31,3.04,429.05,3.17,5.20,4.58,15.48,-9.57,-10.91,5.07,6.05,2.64,-8.73,-6.83,1.0062285193909928,55
07-09-2025,NSE:IIFLCAPS,EQ,9159.84,3.74,4.23,298.95,1.02,-6.41,-14.47,32.40,-12.33,6.05,-6.54,-13,19.56,-11.49,10.13,1.0062112982900184,55
07-09-2025,NSE:FILATEX,EQ,2293.4,8.55,3.3,55.24,6.19,1.05,-2.21,31.46,-23.43,-13.09,0.92,-0.74,18.62,-22.59,-9.01,1.0058805336270036,55
07-09-2025,NSE:LIQUID1,EQ,1390.38,4.31,0.14,1067.55,0.11,0.48,1.28,2.77,4.26,5.76,0.35,2.75,-10.07,5.1,9.84,1.0055694075995072,55
07-09-2025,NSE:SETFNIF50,EQ,70031.99,4.31,1.74,264.3,1.25,0.61,-0.30,11.28,2.31,-0.67,0.48,1.17,-1.56,3.15,3.41,1.0054794095800401,55
07-09-2025,NSE:NIFTYBEES,EQ,49456.77,39.92,1.13,279.6,1.27,0.52,-0.32,11.28,2.37,-0.66,0.39,1.15,-1.56,3.21,3.42,1.0053914562605781,55
07-09-2025,NSE:LIQUIDCASE,EQ,5418.94,89.9,1.58,110.33,0.11,0.47,1.26,2.73,4.20,5.66,0.34,2.73,-10.11,5.04,9.74,1.0053482811343188,55
07-09-2025,NSE:NIFTYIETF,EQ,31508.59,5.88,2.24,278.12,1.05,0.47,-0.30,11.29,2.34,-0.65,0.34,1.17,-1.55,3.18,3.43,1.0053353469278123,55
07-09-2025,NSE:LIQUIDADD,EQ,2286.99,5.77,1.04,1089.75,0.11,0.47,1.25,2.71,4.17,5.63,0.34,2.72,-10.13,5.01,9.71,1.0052835217536138,55
07-09-2025,NSE:UTINIFTETF,EQ,62783.97,1.07,1.41,271.66,1.10,0.64,-0.32,11.15,2.33,-1.05,0.51,1.15,-1.69,3.17,3.03,1.0050857944685767,55
07-09-2025,NSE:FDC,EQ,7411.12,1.02,2.56,470.95,2.80,-1.17,8.87,18.28,-9.81,-15.22,-1.3,10.34,5.44,-8.97,-11.14,1.0049469865778566,54
07-09-2025,NSE:MIDCAPETF,EQ,1113.38,19.83,3.67,21.57,1.99,-0.14,-1.99,16.37,0.00,-2.69,-0.27,-0.52,3.53,0.84,1.39,1.0049226603343293,54
07-09-2025,NSE:BSLNIFTY,EQ,2992.39,4.26,2.44,28.71,1.08,0.52,-0.35,11.22,2.26,-1.04,0.39,1.12,-1.62,3.1,3.04,1.0049090666204157,54
07-09-2025,NSE:BANKIETF,EQ,2932.87,2.76,1.73,55.48,0.81,-2.13,-3.71,11.75,3.60,5.73,-2.26,-2.24,-1.09,4.44,9.81,1.0047891305091596,54
07-09-2025,NSE:GODIGIT,EQ,32961.7,6.86,3.4,354.05,-1.02,-0.61,0.79,17.12,1.62,-10.90,-0.74,2.26,4.28,2.46,-6.82,1.0047658572442095,54
